# Pronunciations for the offline neural voice (KOKORO_G2P_LEXICON).
# Generated by `npm run build:g2p`; do not edit by hand.
# Archaic verb forms and biblical names the voice would otherwise spell
# out letter by letter. Format: word<TAB>IPA
beor	ˈbiːɔːɹ
bera	ˈbiːɹɑ
beracah	biːˈɹɑkɑː
bereaveth	bˈɛɹiːvəθ
berechiah	bɜːiːˈkaɪɐ
berothah	biːˈɹoʊθɑː
besodeiah	bɛsoʊˈdəjɐ
besoughtest	bᵻsˈɔːtᵻst
bestoweddest	bᵻstˈoʊdᵻst
betraieth	bᵻtɹˈeɪəθ
betrayest	bᵻtɹˈeɪᵻst
bewraieth	bᵻɹˈeɪəθ
bezai	ˈbiːzɑːaɪ
biddest	bˈɪdᵻst
biddeth	bˈɪdəθ
biest	bˈaɪᵻst
bindest	bˈaɪndᵻst
binnui	ˈbɪnjuːaɪ
birsha	ˈbɜːʃɑː
bithynia	baɪˈθɪnaɪɐ
blamest	blˈeɪmᵻst
blasphemeth	blæsfˈiːməθ
blessest	blˈɛsᵻst
blewest	blˈuːᵻst
boaz	ˈboʊæz
booz	ˈboʊɑz
bowest	bˈoʊᵻst
breakest	bɹˈeɪkᵻst
bridleth	bɹˈaɪdələθ
bruiseth	bɹˈuːzəθ
bubbleth	bˈʌbələθ
buildest	bˈɪldᵻst
buyest	bˈaɪᵻst
caiaphas	ˈkɑːɐfæs
calneh	ˈkælniː
calveth	kˈævəθ
camest	kˈæmᵻst
canest	kænᵻst
capernaum	kɑːˈpɜːnɑːʌm
caphthorim	ˈkæfðoʊɹɪm
captureth	kˈæptʃɚəθ
cariedest	kˈɛɹidᵻst
carieth	kˈɛɹiəθ
carriest	kˈæɹiᵻst
casluhim	ˈkæsluːhɪm
causedest	kˈɔːzdᵻst
causest	kˈɔːzᵻst
ceaseth	sˈiːsəθ
certifieth	sˈɜːɾᵻfˌaɪəθ
challengeth	tʃˈælɪndʒəθ
chanceth	tʃˈænsəθ
chargedest	tʃˈɑːɹdʒdᵻst
chargeth	tʃˈɑːɹdʒəθ
chastiseth	tʃˈæstaɪzəθ
chedorlaomer	kɛdɔːɹlɑˈoʊmɜː
chenaniah	kɛnɐˈnaɪɐ
chimham	ˈkɪmhæm
chooseth	tʃˈuːzəθ
chosest	tʃˈoʊzᵻst
chozeba	koʊˈzibɑː
circumciseth	sˈɜːkəmsˌaɪzəθ
clappeth	klˈæpəθ
cleansest	klˈɛnzᵻst
cleaveth	klˈiːvəθ
cleveth	klˈiːvəθ
cnidus	ˈnaɪduːz
comest	kˈɑːmᵻst
comfortest	kˈʌmfɚtᵻst
commandest	kəmˈændᵻst
communicateth	kəmjˈuːnᵻkˌeɪtəθ
comparisonest	kəmpˈæɹɪsənᵻst
compassest	kˈʌmpəsᵻst
compelleth	kəmpˈɛləθ
completeth	kəmplˈiːtəθ
conaniah	kɑːnɐˈnaɪɐ
concealest	kənsˈiːlᵻst
conceiveth	kənsˈiːvəθ
condemnest	kəndˈɛmᵻst
confideth	kənfˈaɪdəθ
consecrateth	kˈɑːnsɪkɹˌeɪtəθ
considerest	kənsˈɪdɚᵻst
conspireth	kənspˈaɪɚəθ
consumeth	kənsˈuːməθ
contendest	kəntˈɛndᵻst
continueth	kəntˈɪnjuːəθ
conveneth	kənvˈiːnəθ
convinceth	kənvˈɪnsəθ
coudest	kˈaʊdᵻst
counselleth	kˈaʊnsələθ
countest	kˈaʊntᵻst
coupleth	kˈʌpələθ
craveth	kɹˈeɪvəθ
crepeth	kɹˈeɪpəθ
criest	kɹˈaɪᵻst
crieth	kɹˈaɪəθ
cryest	kɹˈaɪᵻst
cursest	kˈɜːzᵻst
cyrenius	siːˈɹAnaɪʌs
daberath	ˈdæbiːɹæθ
daiest	dˈeɪᵻst
danceth	dˈænsəθ
dara	ˈdɑːɹɐ
darest	dˈɑːɹᵻst
deceiveth	dᵻsˈiːvəθ
decideth	dᵻsˈaɪdəθ
deckest	dˈɛkᵻst
declareth	dᵻklˈɛɹəθ
declineth	dᵻklˈaɪnəθ
dedicateth	dˈɛdᵻkˌeɪtəθ
defendest	dᵻfˈɛndᵻst
deferreth	dᵻfˈɜːəθ
defileth	dᵻfˈaɪləθ
delaiah	dəˈlɑjɐ
delaieth	dᵻlˈeɪəθ
delightest	dᵻlˈaɪtᵻst
deliveredest	dᵻlˈɪvɚdᵻst
deliverest	dᵻlˈɪvɚᵻst
demandest	dᵻmˈændᵻst
demest	dˈiːmᵻst
demetrius	dəˈmiːtɹaɪʌs
deniest	dᵻnˈaɪᵻst
denieth	dᵻnˈaɪəθ
denounceth	dᵻnˈaʊnsəθ
departest	dᵻpˈɑːɹtᵻst
deposeth	dᵻpˈoʊzəθ
depriveth	dᵻpɹˈaɪvəθ
derideth	dᵻɹˈaɪdəθ
describeth	dᵻskɹˈaɪbəθ
deserveth	dɪzˈɜːvəθ
desireth	dɪzˈaɪɚəθ
despiseth	dᵻspˈaɪzəθ
destroyest	dᵻstɹˈɔɪᵻst
determineth	dɪtˈɜːmɪnəθ
deuel	ˈduːɛl
devourest	dɪvˈaʊɚᵻst
diblaim	ˈdɪblɑɪm
diggeth	dˈɪɡəθ
dimonah	ˈdimOn
dinhabah	ˈdɪnhɑːbɑː
dippeth	dˈɪpəθ
disannulleth	dˌɪsɐnˈʌləθ
discloseth	dɪsklˈoʊzəθ
disgraceth	dɪsɡɹˈeɪsəθ
disguiseth	dɪsɡˈaɪzəθ
dishonorest	dɪsˈɑːnɚᵻst
dishonourest	dɪsˈɑːnɚᵻst
dismissest	dɪsmˈɪsᵻst
displeaseth	dɪsplˈiːzəθ
disposeth	dɪspˈoʊzəθ
dispossessest	dˌɪspəzˈɛsᵻst
dissembleth	dɪsˈɛmbələθ
dissolveth	dɪsˈɑːlvəθ
